IIS3DWB 3-axis accelerometer by STM32
Configuration: FIFO continuous mode WTM = 20 Sensibility = +-4g
Timestamp resolution = 12.5us/LSB accel resolution 0.122mg/LSB

Timestamp(us) accelX(mg) accelY(mg) accelZ(mg)
44452.16805 285 -803 7979 
44607.03825 590 -573 7843 
44761.90845 379 -806 7892 
44916.77864 485 -725 7725 
45071.64884 462 -736 7770 
45226.51903 447 -777 7789 
45381.38923 635 -632 7941 
45536.25942 455 -710 7899 
45691.12962 462 -695 7815 
45845.99982 398 -784 7895 
46000.87001 538 -618 7735 
46155.74021 511 -721 7910 
46310.6104 504 -754 7724 
46465.4806 688 -573 7838 
46620.35079 485 -606 7868 
46775.22099 473 -795 8088 
46930.09119 635 -632 7941 
47084.96138 414 -743 7983 
47239.83158 515 -625 7812 
47394.70177 609 -684 7766 
47549.57197 466 -884 7907 
47704.44216 458 -692 8024 
47859.31236 466 -743 7812 
48014.18256 425 -769 7934 
48169.05275 458 -621 8013 
48323.92295 538 -736 7869 
48478.79314 538 -858 7918 
48633.66334 380 -836 8062 
48788.53353 444 -662 7982 
48943.40373 417 -662 7780 
49098.27393 312 -603 8024 
49253.14412 508 -758 7819 
49408.01432 300 -595 7849 
49562.88451 410 -814 7910 
49717.75471 470 -529 7693 
49872.6249 402 -858 7940 
50027.4951 402 -744 7921 
50182.3653 496 -721 7974 
50337.23549 639 -714 7678 
50492.10569 368 -751 7822 
50646.97588 553 -596 7922 
50801.84608 368 -806 7842 
50956.71627 545 -703 7925 
51111.58647 368 -766 7868 
51266.45667 481 -643 7860 
51421.32686 523 -647 8096 
51576.19706 402 -744 7921 
51731.06725 334 -684 7784 
51885.93745 428 -758 7925 
52040.80764 545 -581 7705 
52195.67784 481 -751 8008 
52350.54804 466 -769 7906 
52505.41823 519 -728 7868 
52660.28843 598 -710 7853 
52815.15862 447 -717 8016 
52970.02882 504 -725 8005 
53124.89901 421 -669 7800 
53279.76921 481 -817 7823 
53434.63941 421 -677 7968 
53589.5096 545 -728 7831 
53744.3798 432 -751 7816 
53899.24999 451 -773 7937 
54054.12019 508 -740 7884 
54208.99038 387 -769 7850 
54363.86058 586 -654 7861 
54518.73078 541 -662 7880 
54673.60097 515 -673 7790 
54828.47117 544 -777 7816 
54983.34136 439 -784 7918 
55138.21156 420 -695 7793 
55293.08175 650 -718 7926 
55447.95195 254 -873 7900 
55602.82215 627 -495 7683 
55757.69234 367 -888 7884 
55912.56254 556 -703 7865 
56067.43273 318 -788 8032 
56222.30293 515 -673 7790 
56377.17313 474 -695 7858 
56532.04332 583 -673 7930 
56686.91352 508 -792 7763 
56841.78371 451 -814 7911 
56996.65391 605 -703 7884 
57151.5241 417 -784 7869 
57306.3943 564 -755 7903 
57461.2645 560 -684 7884 
57616.13469 466 -758 8009 
57771.00489 515 -673 7790 
57925.87508 533 -706 7945 
58080.74528 424 -692 7763 
58235.61547 412 -725 7998 
58390.48567 616 -521 7709 
58545.35587 416 -799 7918 
58700.22606 375 -669 7816 
58855.09626 408 -710 7831 
59009.96645 469 -728 7854 
59164.83665 499 -651 7934 
59319.70684 515 -673 7790 
59474.57704 319 -658 7884 
59629.44724 296 -799 7975 
59784.31743 602 -551 7679 
59939.18763 530 -810 7842 
60094.05782 466 -621 7876 
60248.92802 485 -784 7858 
60403.79821 477 -647 7694 
60558.66841 444 -747 7820 
60713.53861 628 -577 7713 
60868.4088 323 -806 7800 
61023.279 495 -658 7770 
61178.14919 394 -732 7930 
61333.01939 506 -710 7804 
61487.88958 360 -995 8078 
61642.75978 616 -729 7907 
61797.62998 435 -640 7687 
61952.50017 514 -617 7820 
62107.37037 361 -799 8145 
62262.24056 538 -802 7887 
62417.11076 666 -754 7891 
62571.98095 342 -821 7842 
62726.85115 440 -643 7769 
62881.72135 530 -751 7879 
63036.59154 440 -755 7769 
63191.46174 428 -762 8008 
63346.33193 470 -736 7781 
63501.20213 556 -673 7902 
63656.07232 470 -658 7842 
63810.94252 327 -725 8006 
63965.81272 511 -725 7801 
64120.68291 357 -677 7877 
64275.55311 485 -677 7987 
64430.4233 425 -777 7846 
64585.2935 477 -644 7641 
64740.16369 342 -755 7998 
64895.03389 556 -692 7854 
65049.90409 556 -673 7902 
65204.77428 537 -788 7952 
65359.64448 386 -877 8055 
65514.51467 638 -599 7812 
65669.38487 514 -762 7972 
65824.25506 469 -728 8048 
65979.12526 665 -510 7759 
66133.99546 495 -721 7762 
66288.86565 522 -766 7846 
66443.73585 469 -695 7854 
66598.60604 548 -762 7956 
66753.47624 519 -658 7786 
66908.34643 364 -917 7968 
67063.21663 590 -610 8059 
67218.08683 312 -699 7877 
67372.95702 621 -788 7808 
67527.82722 361 -610 7918 
67682.69741 556 -773 7926 
67837.56761 564 -758 7766 
67992.4378 462 -677 7850 
68147.308 548 -762 7956 
68302.1782 613 -577 7652 
68457.04839 425 -836 7888 
68611.91859 545 -643 7850 
68766.78878 436 -710 7968 
68921.65898 628 -673 7755 
69076.52917 470 -706 7903 
69231.39937 492 -695 7820 
69386.26957 515 -792 7896 
69541.13976 481 -725 7926 
69696.00996 548 -762 7956 
69850.88015 450 -666 7831 
70005.75035 458 -644 7850 
70160.62054 412 -866 7812 
70315.49074 540 -677 7793 
70470.36094 435 -777 7797 
70625.23113 398 -773 8051 
70780.10133 661 -706 7790 
70934.97152 424 -562 7915 
71089.84172 537 -669 7884 
71244.71191 469 -669 7941 
71399.58211 530 -706 7782 
71554.45231 470 -736 7899 
71709.3225 583 -588 7804 
71864.1927 285 -803 7979 
72019.06289 590 -573 7843 
72173.93309 379 -806 7892 
72328.80328 485 -725 7725 
72483.67348 462 -736 7770 
72638.54368 447 -777 7789 
72793.41387 635 -632 7941 
72948.28407 455 -710 7899 
73103.15426 462 -695 7815 
73258.02446 398 -784 7895 
73412.89465 538 -618 7735 
73567.76485 511 -721 7910 
73722.63505 504 -754 7724 
73877.50524 688 -573 7838 
74032.37544 485 -606 7868 
74187.24563 473 -795 8088 
74342.11583 635 -632 7941 
74496.98602 414 -743 7983 
74651.85622 515 -625 7812 
74806.72642 609 -684 7766 
74961.59661 466 -884 7907 
75116.46681 458 -692 8024 
75271.337 466 -743 7812 
75426.2072 425 -769 7934 
75581.07739 458 -621 8013 
75735.94759 538 -736 7869 
75890.81779 538 -858 7918 
76045.68798 380 -836 8062 
76200.55818 444 -662 7982 
76355.42837 417 -662 7780 
76510.29857 312 -603 8024 
76665.16876 508 -758 7819 
